Tunniste	English	Finnish	Vosa
4400	John 2:25 And needed not that any should testify of man: for he knew what was in man.	25 ja ei tarvinnut, että joku olisi ihmisestä todistanut; sillä hän tiesi, mitä ihmisessä oli.	25 a ej niiden, syt öjo ooif dariilen öb mäm; syfor hä daaen, ko in mäm ooen.
4401	John 3	Johannes 3	Johan 3
4402	John 3:1 There was a man of the Pharisees, named Nicodemus, a ruler of the Jews:	1 Niin oli yksi mies farisealaisista, Nikodemus nimeltä, juutalaisten ylimmäinen.	1 Itli ooen is mä ob pösousjosi, ersaaen Nikodemus, jutjosiof yllast.
4403	John 3:2 The same came to Jesus by night, and said to him, Rabbi, we know that you are a teacher come from God: for no man can do these miracles that you do, except God be with him.	2 Hän tuli yöllä Jeesuksen tykö ja sanoi hänelle: Mestari, me tiedämme, että sinä olet Jumalasta opettajaksi tullut; sillä ei taida kenkään niitä tunnustähtiä tehdä, joita sinä teet, jollei Jumala ole hänen kanssansa.	2 Hä uuten natna tu Jesus a saaen tu hä: Ylvojo, aj daa, syt ja oo ut Hajo muuen padaavjo; syfor ejjo livotee tee itsi enmarksi, kosi ja tee, ifej Hajo oo vi hä.
4404	John 3:3 Jesus answered and said to him, Truly, truly, I say to you, Except a man be born again, he cannot see the kingdom of God.	3 Jeesus vastasi ja sanoi hänelle: Totisesti, totisesti sanon minä sinulle: Ellei joku uudestisynny, ei hän taida Jumalan valtakuntaa nähdä.	3 Jesus ooken a saaen tu hä: Darilli, darilli aj saa tu ja: Ifej öjo novlinöee, hä ej livotee vokaa Hajo-of pöhyl.
4405	John 3:4 Nicodemus said to him, How can a man be born when he is old? can he enter the second time into his mother’s womb, and be born?	4 Nikodemus sanoi hänelle: Kuinka taitaa ihminen vanhana syntyä? Taitaako hän äitinsä kohtuun jälleen mennä ja syntyä?	4 Nikodemus saaen tu hä: Koli livotee mäm li unva nöee? Livoteeko hä tuu intu häof amof nöevlo dunen a nöee?
4406	John 3:5 Jesus answered, Truly, truly, I say to you, Except a man be born of water and of the Spirit, he cannot enter into the kingdom of God.	5 Jeesus vastasi: Totisesti, totisesti sanon minä sinulle: Ellei joku synny vedestä ja Hengestä ei hän taida Jumalan valtakuntaan sisälle tulla.	5 Jesus ooken: Darilli, darilli aj saa tu ja: Ifej öjo nöee ob vam a Ho hä ej livotee uut intu Hajo-of pöhyl.
4407	John 3:6 That which is born of the flesh is flesh; and that which is born of the Spirit is spirit.	6 Mitä lihasta syntynyt on, se on liha ja mitä Hengestä syntynyt on, se on henki.	6 Ko ob mit oo nöee-en, it oo mit a ko ob Ho oo nöee-en, it oo Ho.
4408	John 3:7 Marvel not that I said to you, You must be born again.	7 Älä ihmettele, että minä sanoin sinulle: Teidän pitää uudestisyntymän.	7 Ej ja voejhäpkaa, syt aj saa tu ja: Jasi piit novlinöee.
4409	John 3:8 The wind blows where it wants, and you hear the sound thereof, but can not tell from where it comes, and where it goes: so is every one that is born of the Spirit.	8 Tuuli puhaltaa, kussa hän tahtoo ja sinä kuulet hänen huminansa ja et tiedä, kusta hän tulee taikka kuhunka hän menee: Näin on jokainen, joka Hengestä syntynyt on.	8 Hou tehouu, kolo hä obraa a ja vohöö häof homhö a ja ej daa, kout it uut taj kotu it tuu: Täli oo kijosi, kojo ob Ho oo nöee-en.
4410	John 3:9 Nicodemus answered and said to him, How can these things be?	9 Vastasi Nikodemus ja sanoi hänelle: Kuinka ne taitavat tapahtua?	9 Nikodemus ooken a saaen tu hä: Koli itsi livotee hääp?
4411	John 3:10 Jesus answered and said to him, Are you a master of Israel, and know not these things?	10 Jeesus vastasi ja sanoi hänelle: Sinä olet mestari Israelissa ja et näitä tiedä!	10 Jesus ooken a saaen tu hä: Ja oo ylvoja in Isrlo a ja ej täsi daa!
4412	John 3:11 Truly, truly, I say to you, We speak that we do know, and testify that we have seen; and you receive not our witness.	11 Totisesti, totisesti sanon minä sinulle: Me puhumme, mitä me tiedämme ja todistamme, mitä me näemme ja ette ota vastaan meidän todistustamme.	11 Darilli, darilli aj saa tu ja: Ajsi sasaa, ko ajsi daa a dariil, ko ajsi vokaa a ja ej ögaap ajsiof darilob.
4413	John 3:12 If I have told you earthly things, and you believe not, how shall you believe, if I tell you of heavenly things?	12 Jos minä maallisia teille sanoin ja ette usko, kuinka te uskoisitte, jos minä taivaallisia teille sanoisin?	12 If aj saa ohva tu jasi a jasi ej uus, koli jasi uusif, if aj halova tu jasi saaif?
4414	John 3:13 And no man has ascended up to heaven, but he that came down from heaven, even the Son of man which is in heaven.	13 Ei astu kenkään ylös taivaaseen, vaan joka taivaasta astui alas, Ihmisen Poika, joka on taivaassa.	13 Ejjo vetuu yltu halo, mut kojo ut halo vetuuen lytu, Mämof Son, kojo oo in halo.
4415	John 3:14 And as Moses lifted up the serpent in the wilderness, even so must the Son of man be lifted up:	14 Ja niin kuin Mooses ylensi käärmeen korvessa, niin myös Ihmisen Poika pitää ylennettämän.	14 A itli Moses ylpirpaaen ierpe in vildmol, itli ali Mämof Son piitne ylpirpaa.
4416	John 3:15 That whoever believes in him should not perish, but have eternal life.	15 Että jokainen, joka uskoo häneen, ei pidä hukkuman, mutta iankaikkisen elämän saaman.	15 Syt kijo, kojo uus intu hä, ej piit kaseöön, mut aaf kikinova eo.
4417	John 3:16 For God so loved the world, that he gave his only begotten Son, that whoever believes in him should not perish, but have everlasting life.	16 Sillä niin on Jumala maailmaa rakastanut, että hän antoi ainoan Poikansa, että jokainen, joka uskoo häneen, ei pidä hukkuman, mutta iankaikkisen elämän saaman.	16 Syfor itli Hajo oo raaen köl, syt hä faaen eris Son, syt kijo, kojo uus intu hä, ej piit kaseöön, mut aaf kikinova eo.
4418	John 3:17 For God sent not his Son into the world to condemn the world; but that the world through him might be saved.	17 Sillä ei Jumala lähettänyt Poikaansa maailmaan, tuomitsemaan maailmaa, mutta että maailma pitää hänen kauttansa vapahdettaman.	17 Syfor Hajo ej pagaaen häof Son intu köl, pöcuu köl, mut syt köl piit intuni hä friuur.
4419	John 3:18 He that believes on him is not condemned: but he that believes not is condemned already, because he has not believed in the name of the only begotten Son of God.	18 Joka häneen uskoo, ei häntä tuomita; mutta joka ei usko, se on jo tuomittu; sillä ei hän uskonut Jumalan ainoan Pojan nimen päälle.	18 Kojo intu hä uus, ej pöcuuta hä; mut kojo ej uus, it oo ripnen pöcuuen; syfor hä ej uusen le Hajo-of eris Sonof ersa.
4420	John 3:19 And this is the condemnation, that light is come into the world, and men loved darkness rather than light, because their deeds were evil.	19 Mutta tämä on tuomio, että valkeus tuli maailmaan ja ihmiset rakastivat enemmin pimeyttä kuin valkeutta; sillä heidän työnsä olivat pahat.	19 Mut tä oo pöcuute, syt vitvao uuten intu köl a mämsi raaen enpir takvao il vitvao; syfor häsiof tösi ooen ahva.
4421	John 3:20 For every one that does evil hates the light, neither comes to the light, lest his deeds should be reproved.	20 Sillä jokainen, joka pahaa tekee, se vihaa valkeutta eikä tule valkeuteen, ettei hänen töitänsä pitäisi laitettaman.	20 Syfor kijosi, kojo tee ahva, it aar vitvao aj ej uut intu virvao, syt ej piitif lopaa häof tösi.
4422	John 3:21 But he that does truth comes to the light, that his deeds may be made manifest, that they are worked in God.	21 Mutta joka totuuden tekee, se tulee valkeuteen, että hänen työnsä nähtäisiin; sillä ne ovat Jumalassa tehdyt.	21 Mut kojo tee darilva, it uut intu vitvao, syt häof tösi vokaaifta; syfor itsi oo tee-en in Hajo.
4423	John 3:22 After these things came Jesus and his disciples into the land of Judaea; and there he tarried with them, and baptized.	22 Sitten tuli Jeesus ja hänen opetuslapsensa Juudean maahan ja asui siellä heidän kanssansa ja kastoi.	22 Itne uuten Jesus a häof usdavjosi tu Judea hyl a elooen itla vi häsi a usvaamen.
4424	John 3:23 And John also was baptizing in Aenon near to Salim, because there was much water there: and they came, and were baptized.	23 Mutta Johannes kasti myös Enonissa lähellä Salimia, sillä siellä oli runsaasti vettä; ja he tulivat ja kastettiin.	23 Mut Johan usvaamen ali in Enon raf Salim, syfor itla ooen siri vam; a häsi uuten a usvaamenta.
4425	John 3:24 For John was not yet cast into prison.	24 Sillä ei Johannes ollut vielä silloin vankeuteen heitetty.	24 Syfor Johan ej ooen pirnen heiien intu irflosta.
4426	John 3:25 Then there arose a question between some of John’s disciples and the Jews about purifying.	25 Niin tuli kysymys Johanneksen opetuslasten ja juutalaisten välillä puhdistuksesta.	25 Itli uuten koote välla Johanof usdavjosi a jutjosi öb kliinte.
4427	John 3:26 And they came to John, and said to him, Rabbi, he that was with you beyond Jordan, to whom you bore witness, behold, the same baptizes, and all men come to him.	26 Ja he tulivat Johanneksen tykö ja sanoivat hänelle: Opettaja, se joka sinun kanssa oli toisella puolella Jordania, josta sinä todistit, katso, hän kastaa ja jokainen menee hänen tykönsä.	26 A häsi uuten tu Johan a saaen tu hä: Padaavjo, it kojo vi ja ooen la duva sid Jordan, öb kojo ja darilsaaen, kaa ja, hä usvaam a kijo tuu tu hä.
4428	John 3:27 John answered and said, A man can receive nothing, except it be given him from heaven.	27 Johannes vastasi ja sanoi: Ei ihminen taida mitään ottaa, ellei hänelle anneta taivaasta.	27 Johan ooken a saaen: Mäm livotee ejö aap, ifej tu hä faata ut halo.
4429	John 3:28 You yourselves bear me witness, that I said, I am not the Christ, but that I am sent before him.	28 Te olette itse minun todistajani, että minä olen sanonut: En minä ole Kristus, vaan minä olen hänen edellänsä lähetetty.	28 Jasi oo aut ajof dariiljosi, syt aj oo saaen: Aj ej oo Krist, mut aj oo edla hä pagaaen.
4430	John 3:29 He that has the bride is the bridegroom: but the friend of the bridegroom, which stands and hears him, rejoices greatly because of the bridegroom’s voice: this my joy therefore is fulfilled.	29 Jolla on morsian, se on ylkä, mutta yljän ystävä, joka seisoo ja kuuntelee häntä, se iloittaa itseänsä yljän äänestä sangen suuresti, sen tähden on tämä minun iloni täytetty.	29 Kojo oof enbajviäm, it oo enbajvimä, mut enbajvimäof havijo, kojo tiis a höör tu hä, it teroos aut ob enbajvimäof hö errili pili, forsy it oo tä ajof ros fuulen.
4431	John 3:30 He must increase, but I must decrease.	30 Hänen tulee kasvaa, mutta minun pitää vähenemän.	30 Hä piit eöpiir, mut ajof piit autriip.
4432	John 3:31 He that comes from above is above all: he that is of the earth is earthly, and speaks of the earth: he that comes from heaven is above all.	31 Joka ylhäältä tulee, se on kaikkein päällä ja joka maasta on, se on maasta ja puhuu maasta. Joka taivaasta tulee, hän on kaikkein ylin.	31 Kojo ylel uut, it oo la ki a kojo ut mol oo, it oo ut mol a sasaa öb mol. Kojo ut halo uut, hä oo kiob yllast.
4433	John 3:32 And what he has seen and heard, that he testifies; and no man receives his testimony.	32 Ja mitä hän nähnyt ja kuullut on, sen hän todistaa ja ei kenkään ota vastaan hänen todistustansa.	32 A ko hä vokaaen a vohööen oo, it hä dariil a ej kojo ögaap häof darilob.
4434	John 3:33 He that has received his testimony has set to his seal that God is true.	33 Joka hänen todistuksensa otti vastaan, se päätti Jumalan olevan totisen.	33 Kojo häof darilob ögaapen, it pääten Hajo oova darilva.
4435	John 3:34 For he whom God has sent speaks the words of God: for God gives not the Spirit by measure to him.	34 Sillä jonka Jumala lähetti, se puhuu Jumalan sanoja, sillä ei Jumala anna Henkeä mitalla.	34 Syfor kojo Hajo pagaaen, it sasaa Hajo-of sasi, syfor ej Hajo faa Ho vy pipri.
4436	John 3:35 The Father loves the Son, and has given all things into his hand.	35 Isä rakastaa Poikaa ja antoi kaikki hänen käteensä.	35 Ma raa Son a faaen ki intu häof pave.
4437	John 3:36 He that believes on the Son has everlasting life: and he that believes not the Son shall not see life; but the wrath of God stays on him.	36 Joka uskoo Poikaan, hänellä on iankaikkinen elämä, mutta joka ei usko Poikaan, ei hänen pidä elämää näkemän, mutta Jumalan viha pysyy hänen päällänsä.	36 Kojo uus intu Son, hä oof kikinova eo, mut kojo ej uus intu Son, ej hä piit eo vokaa, mut Hajo-of ar autpaoo la hä.
4438	John 4	Johannes 4	Johan 4
4439	John 4:1 When therefore the LORD knew how the Pharisees had heard that Jesus made and baptized more disciples than John,	1 Kun siis Herra ymmärsi farisealaisten kuulleeksi, että Jeesus teki enemmin opetuslapsia ja kasti kuin Johannes.	1 Na syklirli Romä dakavooen pösousjosi mu vohööen, syt Jesus tee-en enpir usdavjosi a usvaamen il Johan.
4440	John 4:2 (Though Jesus himself baptized not, but his disciples,)	2 (Vaikka ei Jeesus itse kastanut, mutta hänen opetuslapsensa.)	2 (Tajli ej Jesus aut usvaamen, mut häof usdavjosi.)
4441	John 4:3 He left Judaea, and departed again into Galilee.	3 Jätti hän Juudean ja meni jälleen Galileaan.	3 Tejääen hä Judea a tuuen dunen tu Galilea.
4442	John 4:4 And he must needs go through Samaria.	4 Mutta hänen piti Samarian kautta vaeltaman.	4 Mut hä piiten intuni Samaria tutuu.
4443	John 4:5 Then comes he to a city of Samaria, which is called Sychar, near to the parcel of ground that Jacob gave to his son Joseph.	5 Niin hän tuli Samarian kaupunkiin, joka kutsuttiin Sikar, lähelle sitä maakartanoa, jonka Jakob oli pojallensa Josefille antanut.	5 Itli hä uuten Samaria taunlo, ko tukooenta Sikar, rafli it pivillö, ko Jakob ooen tu häof son Josef faaen.
4444	John 4:6 Now Jacob’s well was there. Jesus therefore, being wearied with his journey, sat thus on the well: and it was about the sixth hour.	6 Niin siellä oli Jakobin lähde. Kun Jeesus matkasta oli väsynyt, istui hän lähteelle ja se oli liki kuudetta hetkeä.	6 Itli itla ooen Jakobof sors. Na Jesus ob rotuo ooen autporiipen, siiten hä le sors a it ooen rafli sikva ipno.
4445	John 4:7 There comes a woman of Samaria to draw water: Jesus said to her, Give me to drink.	7 Niin tuli yksi Samarian vaimo vettä ammentamaan ja Jeesus sanoi hänelle: Anna minun juodakseni,	7 Itli uuten is Samaria viäm vomaap vam a Jesus saaen tu hä: Faa aj for veem,
4446	John 4:8 (For his disciples were gone away to the city to buy meat.)	8 sillä hänen opetuslapsensa olivat menneet kaupunkiin ruokaa ostamaan.	8 syfor häof usdavjosi ooen tuuen taunlo ääf em.
4447	John 4:9 Then said the woman of Samaria to him, How is it that you, being a Jew, ask drink of me, which am a woman of Samaria? for the Jews have no dealings with the Samaritans.	9 Sanoi Samarian vaimo hänelle: Kuinka sinä minulta juoda anot, joka olet juutalainen ja minä olen samarialainen? Sillä ei juutalaiset pidä yhtään kanssakäymistä samarialaisten kanssa.	9 Saaen Samarlo viäm tu hä: Koli ja ut aj veem teaaf, kojo oo jutjo a aj oo samarjo? Syfor ej jutjosi paoo ejri vioteete vi samarjosi.
4448	John 4:10 Jesus answered and said to her, If you knew the gift of God, and who it is that said to you, Give me to drink; you would have asked of him, and he would have given you living water.	10 Jeesus vastasi ja sanoi hänelle: Jos sinä tietäisit Jumalan lahjan ja kuka se on, joka sinulle sanoo: Anna minun juodakseni! Niin sinä anoisit häneltä ja hän antaisi sinulle elävää vettä.	10 Jesus ooken a saaen tu hä: If ja daaif Hajo-of tofa a kojo it oo, kojo tu ja saa: Faa aj for veem! Itli ja teaafif ut hä a hä faaif tu ja eeva vam.
4449	John 4:11 The woman said to him, Sir, you have nothing to draw with, and the well is deep: from where then have you that living water?	11 Sanoi vaimo hänelle: Herra, eipä sinulla ole, millä ammennat ja lähde on syvä: Kusta siis sinulla on elävää vettä?	11 Saaen viäm tu hä: Romä, ej a ja oof, kovy ja vomaap a sors oo dipva: Ob ko syklirli ja oof eeva vam?
4450	John 4:12 Are you greater than our father Jacob, which gave us the well, and drank thereof himself, and his children, and his cattle?	12 Oletkos sinä suurempi kuin meidän isämme Jakob, joka meille tämän kaivon antoi? Ja hän joi itse siitä ja hänen lapsensa ja hänen karjansa.	12 Ooko ja pipir il ajsiof ma Jakob, kojo tu ajsi tä mapdiplo faaen? A hä veemen aut ut it a häof Sonsi a häof sirope.
