English150Char	Finnish150Char	VosaTevos150Char
I didn't have enough time for it to be useful.	Minulla ei riittänyt aikaa siihen olla hyödyllinen.	Aj ej oofen hanidriva no for it oo görova.
DANGER, FEAR, SITUATION	VAARA, PELKO, TILANNE	AHRISK, RAK, VISTA
What are you afraid of?	Mitä sinä pelkäät?	Ko ja raak?
Do not be afraid!	Älä pelkää!	Ej ja raak!
I'm afraid I can't come.	Pelkäänpä, etten voi tulla.	Aj raak a, syt aj ej voo uut.
There's nothing terrible about it!	Ei siinä ole mitään kauheaa!	Itin oo ejö hirva.
He is a serious man.	Hän on totinen ihminen.	Hä oo mirilva mäm.
We want peace.	Haluamme rauhaa.	Ajsi ofraa pis.
Peace to the world!	Rauhaa maailmalle!	Pis for köl!
Stopping armaments and wars would also significantly reduce environmental problems.	Asevarustelun ja sotien lopettaminen vähentäisi ratkaisevasti myös ympärstöngelmia.	Sipvo sivivopaate a sipsi teöönte riipif gnooli ali raulo-ongsi.
What has really happened?	Mitä oikein on tapahtunut?	Ko oo rilli hääpen?
What is happening here?	Mitä täällä tapahtuu?	Ko täla hääpnen?
In that case, you have to rest!	Siinä tapauksessa sinun on levättävä!	In it obhäp ja piit eet!
When the opportunity comes, I'll tell him about it.	Kun tulee sopiva tilaisuus, sanon hänelle tästä.	Na uut soopva vono, aj saa hä öb tä.
That's it!	Siinä sitä ollaan!	Itin it oota a!
CAUSE, CONSEQUENCE	SYY, SEURAUS	SY, DEO
Why did he visit?	Mitä varten hän kävi?	Kofor hä uttuuen?
Why did you come?	Miksi te tulitte?	Kosy jasi uuten?
Otherwise just.	Muuten vain.	Tuali erisli.
Why didn't he come?	Miksei hän tullut?	Kosy hä ej uuten?
Why didn't you say anything about it?	Miksette sanonut siitä mitään?	Kosy jasi saaen öb it ejö.
He forgot the raincoat, therefore had to go back.	Hän unohti sadetakin, sen vuoksi täytyi palata takaisin.	Hä öösen vamly-ylluvat, itsy hä piiten reuut.
He doesn't have a clock and that's why he's always late.	Hänellä ei ole kelloa ja sen vuoksi hän aina myöhästelee.	Hä ej oof novo a itsy hä kina siylnaa.
You have to get up early tomorrow, so don't sit too long.	Huomenna on noustava aikaisin, sen vuoksi älkää istuko liian pitkään.	Detanna piit yyl lyna, itsy ej jasi siit ylrili luna.
Why is she absent?	Mistä syystä hän on poissa?	Kosy hä oo yrli?
Do not be late for no reason.	Ei saa myöhästyä ilman mitään syytä.	Ej aaf ylnaa ejli ö sy.
For good reason his wife today gave birth to a son.	Pätevästä syystä hänen vaimonsa synnytti tänään pojan.	For haforva sy, häof viäm tenööen tätanna son.
It is not anyone's fault that it happened that way.	Ei ole kenenkään vika, että kävi sillä tavalla.	Ej oo kojo-of vik, syt saaten itli.
However, he came.	Hän tuli kuitenkin.	Hä uuten amut.
This is of great importance.	Tällä on suuri merkitys.	Tä oof piva curo.
It causes damage.	Se aiheuttaa vahinkoa.	It syy tekas.
EDUCATION	KASVATUS	HAEÖPIIRTE
Hold your child by the hand!	Pidä lasta kädestä kiinni!	Paoo sonnos (ipmäm) ru pave!
The child must not be hit!	Lasta ei saa lyödä!	Sonnos ej aaf hääk!
Children play in the yard.	Lapset leikkivät pihassa.	Ipmämsi leek in tolleilo.
Children like to play with the ball.	Lapset leikkivät mielellään pallolla.	Ipmämsi leek hamili vy bol.
Are your children already attending kindergarten?	Käyvätkö lapsenne jo lastentarhaa?	Uttuuko jasiof ipmämsi ripnen ipmämlo?
STUDY	OPISKELU	APDAV
Our children are still in school.	Lapsemme käyvät vielä koulua.	Ajsiof ipmämsi uttuu pirnen davlo.
The boy is in first grade.	Poika on ensimmäisellä luokalla.	Son oo la isva paersio.
The boy is in fourth grade and the girl in sixth.	Poika on neljännellä luokalla ja tyttö kuudennella.	Son oo la kvava paersio a nos la sikva.
Will they stay in class nowadays?	Jääkö nykyisin luokalle?	Jääko nenna la paersio?
University entrance exams begin in August.	Yliopiston pääsykokeet alkavat elokuussa.	Yldavlö aftuovotrasi nöö na ahthyn.
Was he accepted into the university?	Hyväksyttiinkö hänet yliopistoon?	Hafaaentako hä tu yldavlö.
Viktor recently entered the University of Helsinki.	Viktor pääsi hiljattain Helsingin yliopistoon.	Viktor aftuuen rafnen tu Helsink yldavlö.
Where do you study?	Missä Te opiskelette?	Koin Jasi apdaav?
My brother is studying at a vocational school / college.	Veljeni opiskelee ammattikoulussa / opistossa.	Ajof bajson apdaav in votödavlo / davlö.
He is studying at the Vocational Institute.	Hän opiskelee ammatti-instituutissa.	Hä apdaav in votödavlö.
The academic year begins in September.	Lukuvuosi alkaa syyskuussa.	Davjän nöö na ninhyn.
When will the dean receive?	Milloin dekaani ottaa vastaan?	Koin yldavlö diirjo ögaap?
Do you have a student card with you?	Onko sinulla mukanasi ylioppilaskortti?	Oofko ja vi yldaavjo kart?
She was a teacher in middle school / elementary school.	Hän oli opettajana keskikoulussa / peruskoulussa.	Hä ooen padaavjo in middavlo / besdavlo.
He is a math teacher.	Hän on matematiikan opettaja.	Hä oo risoda padaavjo.
He is a Doctor of Mathematical Sciences.	Hän on matemaattisten tieteiden tohtori.	Hä oo risodä gudavjo.
He is a member of the student council.	Hän on opiskelijaneuvoston jäsen.	Hä oo apdaavjo lisasio ve.
We met in the auditorium.	Tapasimme auditoriossa.	Aj ögkaaen in pidavtolik.
Students are a joyful group.	Opiskelijat ovat iloista joukkoa.	Apdaavjosi oo rosva sio.
What subjects does he study?	Mitä oppiaineita hän opiskelee?	Ko davobsi hä apdaav?
I'm studying history.	Opiskelen historiaa.	Aj apdaav unda.
Which class starts reading foreign languages?	Millä luokalla aletaan lukea vieraita kieliä?	Kola paersio nööta riik vifarva vossi?
Have you studied Vosa for a long time?	Oletteko jo kauan opiskelleet Vosaa?	Ooko jasi ripnen luna apdaaven Vosa?
She studies English in evening classes.	Hän opiskelee englantia iltakursseilla.	Hä apdaav eng in ennat davhäpsi.
The teacher gives lessons and seminars.	Opettaja pitää oppitunteja ja seminaareja.	Padaavjo paoo davdinsi a pidavhäpsi.
He does not attend lectures.	Hän ei käy luennoilla.	Hä ej uttuu la dariksi.
Vosa's lessons have already ended.	Vosan oppitunnit päättyivät jo.	Vosa davdinsi öönen ripnen.
You also have to learn how to write Russian / Chinese.	Teidän on opeteltava myös kirjoittamaan venäjää / kiinaa.	Jasi piit siapdaav ali kiir rus / kin.
Have you already done the exercises?	Oletko jo tehnyt harjoitukset?	Ooko ja ripnen tee-en vopirobsi?
It's a useful training.	Se on hyödyllinen treenaus.	It oo görova vohapiirte.
How many chapters are in this textbook?	Montako lukukappaletta on tässä oppikirjassa?	Siko rikiksi oo in tä davkirto?
I'm reading homework.	Luen läksyt.	Aj riik balteobsi.
In the spring, students take exams.	Keväällä opiskelijat suorittavat tenttejä.	Enlakna apdaavjosi tuöntee davotrasi.
Are you nervous before exams?	Oletko hermona ennen tenttejä?	Ooko ja autneerven en davotrasi.
Did you pass the exam?	Pääsittekö tentistä läpi?	Inlivotuuenko jasi davotra?
He got number two, really!	Hän sai kakkosen, ihanko totta!	Hä aafen duka, fulliko daril!
"She got an ""excellent"" grade from the exam."	"Hän sai tentistä arvosanan ""erinomainen""."	"Hä aafen ob davotra rorisa ""erhava""."
You're brilliant!	Olet välkky!	Ja oo tikklirvisva!
He passed all the exams and traveled on vacation.	Hän suoritti kaikki tentit ja matkusti lomalle.	Hä tuöntee-en ki davotrasi a rotuuen urtöno.
Has your brother already left school?	Onko veljesi jo päässyt koulusta?	Ooko jaof bajson ripnen aftuuen ut davlo.
Have you already graduated from university?	Oletko jo valmistunut yliopistosta?	Ooko ja ripnen auttefuulen ut yldavlö?
He completed his last course.	Hän sai päätökseen viimeisen kurssin.	Hä aafen tu ön önva davhäp.
school / graduation certificate	koulu- / päästö- / ylioppilastodistus	davlo / fapa / yldaavjo darilkir
RESEARCH, INVENTION	TUTKIMUS, KEKSIMINEN	DAKA, IDEAVOOTE
Have you invented something?	Oletteko keksineet jotain?	Ooko jasi ideavooen ö?
I can't come up with anything.	En pysty keksimään mitään.	Aj ejö votee ideavoo.
Yuri Gagarin was the first astronaut.	Juri Gagarin oli ensimmäinen avaruuslentäjä.	Juri Gagarin ooen isva kitilhuujo.
geological research group	geologinen tutkimusryhmä	moldäva daka iksio
OPPORTUNITY, CAN	MAHDOLLISUUS, PYSTYÄ	VOVAO, VOTEE
It is quite possible that you still have time.	On täysin mahdollista, että sinä vielä ehdit.	Oo fulli vova, syt pirnen novoo.
There is no other option.	Eikö ole muuta mahdollisuutta.	Ejko oo tua vovao?
At the moment it is impossible.	Tällä hetkellä se on mahdotonta.	Tä ipna it oo ejvova.
Did you get open the bottle?	Saitteko pullon auki?	Aafko jasi botl oup?
I can't get open in any way.	En saa millään auki.	Aj ejvoli aaf oup.
I can't get this suitcase closed at all.	En saa millään tätä matkalaukkua kiinni.	Aj ejvoli aaf tä rotuobäg puo.
Let's try to order tickets by phone!	Yritetään tilata liput puhelimella!	Traata tiif tupaprsi vy visavö!
Dad drives a car very well.	Isä ajaa erinomaisesti autoa.	Ma katuu erhali tuvö.
He knows Russian well.	Hän osaa hyvin venäjää.	Hä davoo hali rus.
The child can already walk.	Lapsi osaa jo kävellä.	Ipmäm davoo ripnen vetuu.
He understands Vosa better and better.	Hän ymmärtää Vosaa yhä paremmin ja paremmin.	Hä dakavoo Vosa repirnen hapirli a hapirli.
DIFFICULT # EASY	VAIKEA # HELPPO	ONGVA # GNOVA
We have a lot of common problems.	Meillä on paljon yhteisiä ongelmia.	Ajsi oof piri viofva ongsi.
We have a difficult task ahead of us.	Edessämme on vaikea tehtävä.	Kaed ajsi oo ongva teob.
It's an easy task.	Se on helppo tehtävä.	It oo gnova teob.
It's not a simple matter.	Se ei ole yksinkertainen asia.	It ej oo isgnova so.
That's another story.	Se on jo toinen juttu.	It oo ripnen duva öbsasa.
You can't imagine how awkward it is!	Ette voi kuvitella, kuinka hankalaa se on!	Ja ej voo mikaa, koli ongva it oo!
This is a difficult question.	Tämä on vaikea kysymys.	Tä oo ongva koote.
It's hard to talk about it.	On vaikea puhua siitä.	Oo ongva sasaa öb it.
Vosa is not that difficult.	Vosa ei ole niinkään vaikeaa.	Vosa ej oo itli a ongva.
MEANS, WAY, MANNER	KEINO, TAPA	LIVOTE, LIO
He gave me good advice.	Hän antoi minulle hyvän neuvon.	Hä faaen tu aj hava lisa.
They did it all together.	He tekivät kaiken yhdessä.	Häsi tee-en ki vi.
I'm used to get up early.	Olen tottunut nousemaan aikaisin.	Aj oo liafvooen yyl lyna.
He has such a lifestyle.	Hänellä on sellainen elämäntapa.	Hä oof itva eolio.
Or so it is!	Vai sillä lailla!	Taj itli!
Do the same!	Tee sinä samalla tavalla!	Tee ja vy re lio.
That's normal.	Se on aivan normaalia.	It oo fulli resiva.
Usually I take the subway.	Tavallisesti kuljen metrolla.	Resili aj tuut vy almoltuvö.
It's easier to get there by subway.	Sinne on kätevämpää mennä metrolla.	Itle oo hapavepir tuu vy almoltuvö.
calculation methods	laskutavat	risoote liosi
SUCCESS	ONNISTUMINEN	SAAKTE
We managed to get tickets.	Meidän onnistui hankkia liput.	Ajsi saaken foraaf tupaprsi.
You succeeded.	Sinua onnisti.	Ja saaken.
I always have a bad luck.	Aina minulla on huono tuuri.	Kina aj oof ahvova stasak.
The presentation failed.	Esitelmä ei onnistunut.	Siedtusa ej saaken.
Nothing succeeded.	Mikään ei onnistunut.	Ejö saaken.
Everything went great, just fine.	Kaikki sujui erinomaisesti, kerrassaan hienosti.	Ki havotuuen erhali, isna a väkali.
Everything goes according to plan.	Kaikki sujuu suunnitelmien mukaan.	Ki havotuu vili kasotosi.
He is confident of success.	Hän on varma menestyksestä.	Hä oo varmva ob hasak.
He performed very successfully.	Hän esiintyi hyvin menestyksekkäästi.	Hä autedtukaaen hali hasakli.
It was a huge success.	Se oli valtava menestys.	It ooen pipiva hasak.
Good thing I caught you.	Hyvä, että sain sinut kiinni.	Hava, syt aj aafen ja ru.
That artist is the prize laureate of an international competition.	Tuo taiteilija on kansainvälisen kilpailun palkinnonsaaja.	Ät kavjo oo hyjsivälva vintra forhafa aafjo.
What is the situation, who is in the lead?	Mikä on tilanne, kuka on johdossa?	Ko oo vista, kojo oo na diir?
We won!	Me voitimme!	Ajsi viinen.
We lost 2-3.	Hävisimme tuloksella 2-3.	Aj niiven vy utro 2-3.
award ceremony	palkintojen jako	forhafasi tusipa
POWER, STRENGTH	VOIMA, LUJUUS	PO, ÖGPOVAO
He's a pretty sturdy man.	Hän on melko tukeva mies.	Hä oo rafli supva mä.
Don't just rely on your own strength.	Ei pidä luottaa vain omiin voimiin.	Ej piit uscuu erisli öfva posi.
You have a strong character.	Teillä on voimakas luonne.	Jasi oof pova mivao.
He is a very powerful human.	Hän on hyvin voimakas ihminen.	Hä oo hali pova mäm.
I no longer have the strength.	Minulla ei ole enää voimia.	Aj ejpirnen oof posi.
Are you tired?	Oletko väsynyt?	Ooko ja autporiipen?
Oh, I'm dead tired.	Oh, olen kuolemanväsynyt.	Eh, aj oo eön autporiipen.
Are you possibly tired of the trip?	Oletteko mahdollisesti väsynyt matkasta?	Ooko jasi voli autporiipen ob rotuo?
We walked so much that we got tired.	Kävelimme niin paljon, että väsyimme.	Ajsi vetuuen itli piri, syt ajsi autporiipen.
You have a heavy suitcase.	Teillä on raskas matkalaukku.	Jasi oof hevva rotuobäg.
I noticed that everyone was tired.	Pistin merkille, että kaikki olivat väsyneitä.	Aj obvokaaen, syt ki ooen autporiipen.
I was tired of waiting for you.	Väsyin odottamaan sinua.	Aj autporiipen obnoo ja.
HELP # OBSTACLE	APU # ESTE	VYO # YV
They always help each other.	He auttavat aina toisiaan.	Häsi vyy kina obki tuasi.
Can't you help me?	Ettekö voisi auttaa minua?	Ejko jasi vooif vyy aj?
How can I help you?	Miten voisin auttaa teitä?	Koli aj vooif vyy jasi?
I'll try to help you if I can.	Yritän auttaa Teitä, jos vain voin.	Aj traa vyy Jasi, if aj erisli voo.
Call me for help if needed!	Kutsu minua apuun, jos on tarpeen!	Tukoo ja aj for vyo, if oo for nid!
Something prevented him from coming.	Jokin esti häntä tulemasta.	Ö yyven hä uut.
Please don't bother me!	Ole hyvä, äläkä häiritse minua!	Oo ja hava, a ej cuyyv aj!
CONDITION, STATE	KUNTO, TILA	VOSTA, STA
He has a weak position.	Hänellä on heikonlainen asema.	Hä oof opliva culo.
Take the clock for repair!	Vie kello korjattavaksi!	Gaa ja novo for keer!
The café is closed due to renovation.	Kahvila on kiinni remontin vuoksi.	Kofvemlo oo puo for siker.
Elevator not working.	Hissi ei toimi.	Yllyvö ej otee (ej oof hava vosta).
The doorbell does not work, knock!	Ovikello ei toimi, koputtakaa!	Ouvbel ej otee, pokliik jasi!
The suitcase handle was broken.	Matkalaukun kahva meni rikki.	Rotuobäg apvo autreeken.
I broke the drinking glass.	Rikoin juomalasin.	Aj reeken vemglaves.
Do you have a pen, I broke my own?	Onko sinulla kynää, rikoin omani?	Oofko ja kirvo, aj reeken ajof öfva?
Let everything stay that way!	Jääköön kaikki näin!	Jää ki täli!
You have to put things in order.	Pitää pistää asiat järjestykseen.	Piit paa sosi mu jär.
Now everything is in order.	Nyt kaikki on järjestyksessä.	Nen ki oo in jär.
Everything is fine.	Kaikki on kunnossa.	Ki oo hastana.
I am glad that everything is in order	Olen iloinen, että kaikki on kunnossa	Aj oo rosva, syt ki oo in hastana.
The car went malfunctioned.	Auto meni epäkuntoon.	Tuvö muuen tu ejvosta.
WEATHER IN GENERAL	SÄÄ YLEENSÄ	NISTA TIHNA
What was the weather like there?	Millainen sää siellä oli?	Kova nista itla ooen?
Today is absolutely bright.	Tänään on aivan kirkasta.	Tätanna oo fulli klirva.
There is no cloud in the sky.	Taivaalla ei ole pilveäkään.	La yllo ej oo is a homvam.
Today is beautiful weather.	Tänään on kaunis ilma.	Tätanna oo kava nista.
The air is beautiful, the sun is shining.	Ilma on kaunis, aurinko paistaa.	Nista oo kava, aurlo katkliir.
Let's sit for a moment in the sun!	Istutaan hetki auringossa!	Siitta ipno al aurlo!
We were sunbathing on the beach.	Otimme aurinkoa uimarannalla.	Ajsi aapen aurlo la vuvamdim.
Today is wonderful weather!	Tänään on ihana ilma!	Tätanna oo fainkava nista!
The weather is great, you could go for a walk.	Sää on mitä mainioin, voisi mennä kävelemään.	Nista oo koli a erhast, vooif tuu vetuu.
Let's go breathing some fresh air!	Mennään vähän haukkaamaan raitista ilmaa!	Tuuta ipri urbiit kalfresva hom!
If good air comes, we'll go into the country.	Jos tulee hyvä ilma, niin lähdemme maalle.	If muu hava nista, itli ajsi tuu le nuatlo.
The weather is so bad.	Sää on niin huono.	Nista oo itli ahvova.
The weather is terrible.	Sää on kauhea.	Nista oo hirva.
Today is a strong wind.	Tänään on kova tuuli.	Tätanna oo pova hou.
In such weather, airplanes do not fly.	Tällaisella ilmalla lentokoneet eivät lennä.	In täva nista huvösi ej huu.
Today is a cold breeze.	Tänään on kylmä tuuli.	Tätanna oo kalva hou.
There were severe frosts.	Oli kovia pakkasia.	Ooen pova kalmstasi.
Today is not very warm, but warmer than yesterday.	Tänään ei ole kovin lämmintä, mutta lämpimämpää kuin eilen.	Tätanna ej oo errili lakva, mut lakpir li edtanna.
Today is warm.	Tänään on lämmintä.	Tätanna oo lakva.
WEATHER, HEAT # COLD	SÄÄ, LÄMPÖ # KYLMYYS	NISTA, LAKVAO # KALVAO
What is your average temperature in June?	Mikä teillä on kesäkuussa keskilämpötila?	Ko jasi oof na sikhyn midlakri?
The water temperature is 20 degrees.	Veden lämpötila on 20 astetta.	Vam lakrista oo 20 lylrisi.
