VosaTevos	Finnnish	English
fosiksikato	mikrofilmi	microfilm
fosiksir	mikrosiru	microchip
fosiksährauri	mikropiiri	integrated circuit; microcircuit
fosikveiv	mikroaalto	microwave
fosikveivbekos	mikroaaltouuni; mikrouuni	microwave oven
fosipjo	luutnantti	lieutenant
fosipsio	prikaati	brigade
fosrovjo	miljonääri	millionaire
fossi	miljoonia	millions
fossili	miljoonittain	by the millions
fosva	miljoonas	millionth
fotan	torstai	Thursday
foton	fotoni	photon
fotul	moottoritie	superhighway; thruway; state highway; motorway; freeway; expressway
fotul tukasa	katuosoite	street address
fotulpuoyv	barrikadi	barricade
fou	taite	curve; fold
foucesjän	vuosidan taite	turn of the century
fouiplo	taitekohta; tienristeys	critical point; crossroads; juncture
fousdil	rovastikunta	deanery
fousiritejö	taitekerroin	refractive index
fousjo	rovasti	Reverend; head pastor; dean
fouto	taitos	bend; crimp
fouu	poimuttaa; taittaa; viikata	fold; tuck
fouute	taittaminen; taitto	folding
fouve	taive; polveke	bend
fovam	merivesi	sea water; seawater; saltwater; brine
fovamahnidsta	merihätä	distress at sea
fovamahroapjo	merirosvo	buccaneer; pirate
fovamalg	merilevä	seaweed
fovamalva	merenalainen	undersea
fovamautsipvo	torpedo	torpedo
fovambioka	merimaisema	seascape
fovamdaka	merentutkimus	oceanography; oceanology
fovamdimlo	merenranta; merenrannikko	sea coast; seaside; seashore; seaboard
fovamem	mereneläviä	seafood
fovamforhava	merikelpoinen	seaworthy
fovamforhavao	merikelpoisuus	seaworthiness
fovamgagboks	merikontti	sea container
fovamgusipjo	merikapteeni	captain; sea captain; skipper
fovamhirö	merihirviö	sea monster; leviathan
fovamigsif	merikotka	ern
fovamjo	merimies	sailor; mariner
fovamkadeva	merentakainen; merentakaisten	oversea; overseas
fovamkaäm	merenneito	mermaid
fovamklirpe	meritähti	starfish
fovamkotsif	merimetso	cormorant
fovamlo	meri; meri-	marine; sea
fovamlo veiivte	meren aaltoilu	waves of the sea
fovamloksif	merilokki	seagull; sea gull
fovamlova	merellinen	marine; maritime
fovammä	merimies; matruusi	seaman
fovampötsfis	meriahven	sea bass
fovamretva	merisairas	seasick
fovamsipposi	merivoimat	naval forces; navy
fovamskal	osteri	oyster
fovamtrautfis	meritaimen	sea trout
fovamtukavo	merimerkki	buoy
fovamtuo	merenkulku; merenkulun	nautical; seafaring; shipping; maritime
fovamtuojo	merenkulkija	seafarer; seaman
fovamundatol	merimuseo	marine museum; maritime museum
fovamveiivte	merenkäynti	swell of the sea
F-pähökau	F-duuri	F major
fraiepemto	kasvispihvi	vegetable patty
fraii	paistaa	fry; roast; toast
fraiien	paistettu	broiled; fried; sauteed
fraiite	paistaminen; paisto	frying; roasting
fraikak	pannukakku	pancake; flapjack
frailakrivo	paistolämpömittari	frying thermometer
fraileives	paistinpannu	frypan; skillet; frying pan
fraimit	paisti	roast; steak
fraimitto	pihvi	beefsteak; steak
fraipotem a lumittosi	pyttipannu	fried potatoes and sausage
fraives	pannu	pot
frans	ranskan kieli	french
fransbekem	ranskanleipä; ranskis	French bread
fransjo	ranskalainen	Frenchman
Franslo	Ranska	France
fransrov	frangi	franc
fransva	ranskalainen	French
freemen	kehystetty	framed
frees	raikastaa	freshen
freesmo	deodorantti	deodorant
frem	runko; raami; karmi; kehys	framework; window frame; fuselage; frame; cadre; bole; hull
frempa	kehystys	framing
frempaa	kehystää	frame
freonmo	freoni	freon
fresmo	raikaste	freshener
fresva	raikas	fresh
fresva hou	navakka tuuli	fresh wind
fresvo	raikastin	freshener
freudva	freudilainen	Freudian
fribönjosio	vapaapalokunta	volunteer fire department
frifäf	vapaakauppa	free trade
frigvuvö	fregatti	frigate
frihölirauu	teutaroida	run free
frii ut sysa	vapauttaa syytteestä	acquit
frikauli	vapaamuotoisesti	informally
frikauva	vapaamuotoinen	free-form
frili	vapaasti	freely
frimiva	vapaamielinen	broad-minded; liberal
frino	vapaa-aika	freetime; spare time; leisure; leisure time
frinoiptol	huvimaja	gazebo
frinotol	huvila	bungalow; villa
friofradäva	fakultatiivinen	facultative
friofrali	vapaaehtoisesti	voluntarily
friofratö	talkootyö; vapaaehtoistyö	voluntary work
friofratöhäp	talkoot	bee
friofratöjo	vapaaehtoistyöntekijä	volunteer
friofrava	vapaaehtoinen	optional; voluntary; volunteer
friofravao	vapaaehtoisuus	voluntariness
friponli	verkalleen; verkkaisasti	leisurely; slowly
friponva	verkkainen	sluggish
frisva	friisi	Frisian
fritan	vapaapäivä	day off; holiday
fritylvuute	vapaauinti	freestyle swimming
friuur	päästää irti; vapahtaa; vapauttaa	loose; set loose; set free; absolve; release; redeem; liberate; free; exonerate; emancipate; exempt
friuuren	vapautettu	exempted; released; freed; exonerated
friuurjo	vapauttaja; Vapahtaja	emancipator; liberator; Redeemer; Saviour
friuurte	vapauttaminen; vapautus	deliverance; liberation; release
friva	vapaa	disengaged; vacant; free; detached; unconstrained
frivao	vapaus	freedom; liberty
friviplaastjo	vapaamuurari	freemason
frivisasa	rupattelu	chat; confabulation
frivisasaa	rupatella	talk; chat; natter
frogpe	sammakko	frog
frogpemä	sammakkomies	frogger; frogman
ful	täynnä	brimming; crammed; fraught; full; replete; stuffed; teeming
fulaafejva	kyltymätön	insatiate; voracious; insatiable
fulaafen	kylläinen	sated; saturated; full
fulaafli for aj	kylläkseni	to my satisfaction
fulafsta	kylläisyys	saturation
fuleemen	kylläinen	eaten enough; replete; satiated; satisfied
fuleöpiiren	täysikasvuinen	fullgrown; adult
fulfulva	täpötäysi	stuffed full; crowded; filled to the brim
fulhakelö	pensionaatti; täysihoitola	boarding house; boardinghouse
fulhemova	täysiverinen	full-blooded; thoroughbred
fuljo	aikuinen	adult; grown; grownup; grown-up; mature
fuljomuu	aikuistua	develop; grow mature; grow up
fuljopadaavte midlo	aikuiskoulutuskeskus	adult education center
fuljosi	aikuiset	adults
fuljovao	aikuisuus	adulthood
fuljänriva	täysi-ikäinen	adult
fulkirek	täystuho	juggernaut
fulli	aivan; ihan; täysin; vallan	quite; wholly; utterly; totally; diametrically; fully; downright; entirely; completely; perfectly
fulli hali	ihan hyvin	quite well
fulli itli	aivan niin	that's right
fulli li	aivan kuin	just as
fulli nömu	aivan aluksi	to begin with
fulli re	aivan sama	whatever
fulliseeren hypadaavjo	emeritusprofessori	professor emeritus
fulliva	täyteläinen	mellow; full-bodied
fulmitva	raavas	beef; beefy
fulmonlo	täysikuu	full moon
fulmä	aikamies	adult man; grown-up man
fulpa	täyttö	refilling; charging; filling
fulpalylri	täyttöaste	filling degree
fulpiir	täydentää	complement; complete; replenish; supplement
fulpiirte	täydennys	supplement
fulpiirva	täydentävä	complementary; supplementary
fulpiprili	täysimittaisesti	in full measure
fulpipriva	täysimittainen	full-size; full-scale
fulpirob	komplementti	complement
fulpäräjmoejva	täysin raitis	teetotaller; absolutist
fulpöva	täysivaltainen	fully authorized
fulsithäp	täysistunto	plenum
fulsoviksi	huuhaa	full of mistakes
fulstli	täysillä	at full volume; in full
fultehouu	puhaltaa täyteen	inflate
fulto	täyte	topping; stuffing; filler; filling
fultobekem	torttu	pie; tart; trifle
fultokakem	piirakka; piiras	flan; pie
fultokirvo	täytekynä	fountain-pen
fultomo	täyteaine	filler
fultosuitem	konvehti; makeinen; makeiset	fondant; confection
fultu	täyteen	full
fultusta	liikenneruuhka	traffic jam
fultuyv	ruuhka; suma	backlog; jam
fultuöntee	suorittaa loppuun	complete; finish
fultöönte	täyskäännös	about-face; reversal; U-turn
fulva	täysi	full; entire; complete; whole
fulvao	täyteys	fullness
fulvisva	täysijärkinen; täysjärkinen	sane
fulvoajo	perfektionisti	perfectionist
fulvoli	täydellisesti	completely; entirely; perfectly
fulvova	täydellinen	unmitigated; complete; perfect
fulvovao	täydellisyys	totality; perfection; completeness; entirety
fulönte	viimeistely	completing; completion; finalization; finalizing; finishing; polishing
fulöntee	viimeistellä	finalize; perfect; hone; finish
fulöntee-en	viimeistelty	finalised; finalized; finished
fung	sieni	fungus; mushroom
fungkaap	sienestää	go mushrooming
fungret	sienitauti	fungal disease; mycosis
fungvilsem	torajyvä	ergot
fuul	täyttää	refill; fulfill; fulfil; fill up; fill; fill in
fuul jänsi	täyttää vuosia	turn years
fuul kaupapr	täyttää lomake	fill a form
fuul pöfa	täyttää lupaus	fulfill the promise
fuulen	täytetty	stuffed; filled
fuultava	täytettävä	fillable
fuulte	täyttäminen	filling
fuulva	täyttävä	filling; fulfilling
fysda	fysiikka	physic; physics; physique
fysdajo	fyysikko	physicist
fysva	fyysinen	physical
fädot	myyntipiste	outlet; point of sale; mercantile establishment; sales outlet
fäeedjo	myyntiedustaja	agent
fäf	kauppa	business; commerce; deal; trade; transact
fäfahdiir	höynäyttää	swindle; trick
fäfcuri	liikesuhde	business relationship
fäfdiirjova	liikkeenjohdollinen	managerial
fäfemlo	baari; bufetti	bar; buffet
fäfemlojo	baarimikko	bartender
fäfemlolaos	baaritiski	bar counter
fäfemlomä	baarimikko	barman
fäferpari	liikevaihto	sales; turnover
fäferpari pörov	liikevaihtovero	turnover tax
fäfersa	kauppanimi	trade name
fäfersaka	liikemerkki; liiketunnus	logo; trademark
fäfhäp	basaari; myyjäiset	bazaar; bake and craft sale
fäfiplo	koju	stall
fäfiptolik	kauppakamari	Chamber of Commerce
fäfjo	kauppias	shopkeeper; vendor; tradesperson; tradesman; trader; salesman; monger; merchant; merchandiser; mercer; dealer; stockist
fäfleitol	kauppahalli	market hall
fäfli	kaupallisesti	commercially
fäflo	liike; kauppa; kauppapaikka	shop; store; mart; business
fäflodahidvao	liikesalaisuus	trade secret
fäfloidea	liikeidea	business idea
fäflö	liikelaitos	establishment
fäfmark	brändi	brand
fäfmidlo	kauppakeskus	emporium
fäfmä	liikemies	businessman
fäfongsa	reklamaatio	complaint; notice of defect; reclamation
fäfote	bisnes; liiketoimi; liiketoiminta	dealing; transactions; transaction; business; dealings
fäfote kasoto	liiketoimintasuunnitelma	business plan
fäfouptaunlo	kauppatori	market square
fäfpateejo	liikkeenharjoittaja	trader
fäfpuoyv	kauppasulku	trade embargo
fäfrauyv	kauppasaarto	embargo; trade embargo
fäfrostava	liiketaloudellinen	commercial
fäfsefide	protektionismi	protectionism
fäfsieedjo	kauppaedustaja	agent
fäfsiviring	kauppaketju; myymäläketju	multiple store; chain of stores
fäfso	liikeasia	business concern
fäftalrovri	bilanssi; kauppatase	balance; balance of trade
fäftekjo	kauppateknikko	trade technician
fäfto	tavara	goods; wares
fäftolik	myymälä	store; boutique; shop
fäftoo	tuotteistaa	productize; commercialize
fäftosi	kauppatavara; tavarat	goods; merchandise; trade goods; ware; wares
fäftralö	liikeyritys	commercial enterprise
fäfva	kaupallinen	merchantable; commercial; mercantile
fäfvao	kaupallisuus	commercialism
fäfvin	liikevoitto	gains; business profit
fäfvipö	kauppaliitto	Trade union
fäfvisopto	kauppasopimus	business deal; trade agreement; trade deal
fäfvuvö	kauppalaiva	merchantman
fäfvyyjo	kauppa-apulainen; liikeapulainen	clerk
fäfäm	liikenainen	businesswoman
fäfää	kaupata	peddle; vend; do business; pitch; sell
fäiklo	myyntiosasto	sales department
fäkahäp	messu; messut	fair
fälaos	myyntipöytä; tiski	counter; desk
fämä	myyntimies	salesman
färovri	myyntihinta	sale price; selling price
Färvammolsi	Färsaaret	Faeroe Islands
fät	ihra; läski	fat; grease
fätahli	härskisti	harshly
fätahva	härski	rancid
fätfraii	käristää	frizzle; fry
fätfraiite	käristys	fry
fätikem	laardi; silava	lard
fätippiir	pulskistaa	flesh out; plump
fätipva	pulska; pyylevä	corpulent; chubby; bonny; sturdy
fätkatmo	steariini	stearin
fätkatvo	kynttilä	candle
fätkatvo tan	kynttilänpäivä	Candlemas Day
fätkatvokat	kynttilänvalo	candlelight
fätkatvosup	kynttilänjalka	candleholder; candlestick
fätkuvö	rasvakeitin	deep fat fryer
fätmo	rasva	fat; grease
fätmoejva	rasvaton	defatted; nonfat
fätmoo	rasvata	grease
fätmoote	rasvaus	greasing
fätmova	rasvainen	adipose; fat; fatty; greasy; sebaceous
fätmovao	rasvaisuus	fatness
fätnitva	paksukainen	fatty
fätnäp	akne; finni	zit; pimple; blemish; acne
fätnäpedpäva	finninaamainen	pimple-faced
fätnäpva	finninen	pimpled
fäto	tavara	merchandise
fätoga	toimitus	delivery; dispatch; shipment
fätoga siviring	toimitusketju	supply chain
fätogaa	toimittaa	procure; supply; deliver
fätogaaen	toimitettu	delivered
fätogaajo	tavarantoimittaja; toimittaja	provider; supplier
fätogaatava	toimitettava	deliverable
fätogaate	toimittaminen	delivery
fätogano	toimitusaika	time of delivery
fätolurik	tavaraluettelo	list of goods
fätomark	tavaramerkki	brand; trademark
fätonidsta	tavarapula	shortage of goods
fätotol	tavaratalo	department store
fätotusta	tavaraliikenne	freight traffic
fätpiir	lihoa	gain weight
fätsuitem	kinuski	caramel; caramel made of cream and sugar
fätsukbunem	munkki	doughnut
fätsukbunemring	donitsi; munkkirinkeli	donut; donut pretzel; doughnut
fätutkliir	lankata	shine
fätuur	kuoria maitoa; kuoria kermaa	cream off; skim milk
fätuuren milk	kuorittu maito	skimmed milk
fätva	lihava	corpulent; fat; obese
fätvao	lihavuus	corpulence; fatness; obesity
fätyraphake	rasvaimu	liposuction
fävilisasoopjo	myyntineuvottelija	sales negotiator
fäviseemen	prostituoitu	floozy; prostitute; hooker
fävisem	prostituutio	prostitution
fävisemjo	portto	harlot
fävisemlo	bordelli; ilotalo	brothel
fää	myydä	sell
fääen	myyty; myyneet	dealt; have sold; sold; traded; vended
fääenst	myydyin	best-seller
fääf	käydä kauppaa	trade
fääfte	kaupankäynti; kauppa	trading; transaction; trade
fääjo	myyjä	sales-clerk; salesperson; seller; trader; vendor
fääte	myyminen; myynti	turnover; merchandising; vending; sale; sales; selling
fäätediirjo	myyntijohtaja	Director of Sales
fäätepäjo	myyntipäällikkö	sales manager
fäätevyobroli	myynninedistämistarkoituksessa	promotional
fäätö	myyntityö	salesmanship
fönep	saniainen	fern
förpu	kuusi; kuusipuu	fir tree; spruce tree; firs; fir; spruce
förpuporpe	kuusipeura	fallow deer
förpuva	kuusinen	firry; spruce
förto	turkis	fur
förtosi	turkikset	furs
förylluvat	turkki	fur-coat
gaa	viedä	transport; take; occupy
gaag	kuljettaa	conduct; convey; drive; freight; transport; carry
gaag vy fetulik	kuljettaa junalla	transport by train
gaag vy talalovuvo	kuljettaa proomulla	transport by barge
gaagen	kuljetettu	carried; propelled; transported
gaagjo	kuljettaja	driver; rider; transporter
gaagte	kuljettaminen	transportation; transporting
gaate	vieminen	taking
gabos	kaappi	sideboard; locker; closet; cabinet; cupboard
gabtaal	hyllyttää	shelve
gabtal	hylly	shelf
gael	gaeli; gaelin kieli	Gaelic
gag	kuljetus	carriage; conveyance; haulage; transport; transportation
gagboks	kontti	container
gagda	logistiikka	logistics
gagev	suoni	vein; vessel; vas
gagevbunpiirob	aneurysma	aneurysm
gagevinoli	suonensisäisesti	intravenously
gagevinova	suonensisäinen	intravenous
gagevpirret	suonikohju	varicose vein
gagevpirretva	suonikohjuinen	varicose
gagevsiva	suonikas	veined
gagjär	letka	line
gagkatvo	lyhty	lantern
gagkeete	huolinta	forwarding
gaglijär	kuljetusjärjestelmä	transportation system
gagponauh	kuljetushihna	conveyor belt
gagri	rahti	cargo; freight; lading
gagrii	rahdata	be freighted; charter
gagriijo	rahtaaja	freighter; shipper
gagriite	rahtaus	freighting; chartering
gagrikir	rahtikirja	bill of lading; waybill
gagritusta	rahtiliikenne	freight traffic
gagrovfa	kuljetusmaksu	fare; portage
gagrovpasi	kuljetuskustannukset	haulage
gagtralö	kuljetusliike	hauler
gagvo	kärry	cart
gagvoo	kärrätä	cart
gagvorauto	kärrynpyörä	cartwheel
gagvuvö	rahtialus; rahtilaiva	cargo ship; freighter
gagvö	kuljetin	conveyer; conveyor
Galf-vamtul	Golfvirta	Gulf Stream
galri	gallona	gallon
gaselpe	gaselli	gazelle
gees	arvata	guess
geesen	arvasi	guessed
geesli	arvattavasti	presumably
geesli a	arvatenkin	presumably
gen	geeni	gene
genda	genetiikka	genetics
gendajo	geneetikko	geneticist
genli	geneettisesti	genetically
genmuo	mutaatio	mutation
genretlike	geeniterapia	gene therapy
genslo	geenipankki	gene bank; gene pool
gentekda	geenitekniikka	genetic engineering
genva	geneettinen	genetic
Georglo	Georgia; Gruusia	Georgia
gepardpe	gepardi	cheetah
germ	saksan kieli	German
germcejdaka	germanistiikka	germanistics
germcejjo	germaani	German; teuton
germcejva	germaaninen	Germanic
Germlo	Saksa	Germany
germnut	saksanpähkinä	walnut
germva	saksalainen	German
ges	arvaus	guess; reckoning
gesejli	arvaamattomasti	unpredictably; incalculably
