Tunniste	Englanti	Suomi	Vosa
1153	Where's the station manager here?	Missä täällä on asemapäällikkö?	Koin täla oo fetultol päjo?
1154	AIR TRAFFIC	LENTOLIIKENNE	HUTUSTA
1155	Have you ever flown?	Oletko koskaan lentänyt?	Ooko ja ejna huuen?
1156	I fly, there's little time.	Minä lennän, aikaa on vähän.	Aj huu, no oo ipri.
1157	Could you tell me which bus goes to the airport?	Sanoisitteko, mikä bussi menee lentokentälle?	Saaifko jasi, ko siotuvö tuu le huleilo?
1158	A bus to the airport leaves from the flight agency.	Bussi lentokentälle lähtee lentotoimistosta.	Siotuvö le huleilo urtuu ut huotelo.
1159	We have to be at the airport one hour before the plane leaves.	Meidän on oltava lentokentällä tuntia ennen koneen lähtöä.	Ajsi piit oo la huleilo is din en huvö urtuo.
1160	We are in a hurry to board the plane.	Meillä on kiire lentokoneeseen.	Ajsi oof iprino intu huvö.
1161	The plane will depart exactly on schedule.	Lentokone lähtee täsmälleen aikataulun mukaisesti.	Huvö urtuu tarkli lioli notukato
1162	The plane from London has landed.	Lentokone Lontoosta on laskeutunut.	Huvö ut London oo lyyen.
1163	SHIPPING	LAIVALIIKENNE	VUVÖTUSTA
1164	Do you travel by boat?	Matkustatteko te laivalla?	Rotuuko jasi vy vuvö?
1165	We ordered a first class cabin.	Tilasimme ensimmäisen luokan hytin.	Ajsi tiifen isva paersio vuvönuklo.
1166	Have a great boat trip!	Hyvää laivamatkaa!	Hava vuvörotuo!
1167	We drove a motor boat along the Moscow River.	Ajelimme moottoriveneellä Moskova-jokea pitkin.	Ajsi sikatuuen vy povövuvo luvi Moskov-divamtul.
1168	We'd better take the bus.	Meidän on parasta mennä bussilla.	Ajsi oo hastli tuu vy siotuvö.
1169	We came by trolley car.	Tulimme johdinautolla.	Ajsi uuten vy sähsiotuvö.
1170	The bus leaves from the bus station.	Linja-auto lähtee linja-autoasemalta.	Siotuvö urtuu siotuvölo.
1171	The bus should wait for us here.	Bussin pitäisi odottaa meitä tässä.	Siotuvö piitif obnoo ajsi täin.
1172	The bus is already leaving.	Bussi on jo lähdössä.	Siotuvö oo ripnen urtuunen.
1173	Where is this bus going?	Minne tämä bussi menee?	Kotu tä siotuvö tuu?
1174	Which bus should we get on?	Mihin bussiin meidän on noustava?	Kointu siotuvö ajsi piit yyl?
1175	Where can you get on bus 211?	Mistä voi nousta bussiin 211?	Kout voo yyl intu siotuvö 211?
1176	Where is bus 211 stop?	Missä on bussin 211 pysäkki?	Koin oo siotuvö 211 stoplo?
1177	Don't drop five kopecks, I already put ten (on the vending machine in the bus).	Älkää pudottako viittä kopeekkaa, pistin jo kymmenen (automaattiin bussissa).	Ej palyy ja fiv rusrov cesiksi, aj paaen ripnen bas (intu auttevö in siotuvö).
1178	Don't drop your money!	Älkää pudottako rahaa!	Ej palyy jasi rov!
1179	Citizens, go ahead / move on!	Kansalaiset, käykää / siirtykää eteenpäin!	Hyjjosi, uttuu jasi / louu jasi eddir!
1180	Let your comrade go!	Päästäkää toveri eteenpäin!	Fatuu jasi vijo eddir!
1181	Do you allow me to pass by!	Sallitteko, että menen ohi!	Pöfaako jasi, syt aj tuu sidut?
1182	At what stop do we have to get off, next or after next?	Millä pysäkillä meidän on jäätävä pois, seuraavalla tai sitä seuraavalla?	Kola stoplo ajsi piit jää yr, la deva taj la de deva?
1183	Are you getting off at the next stop?	Jäättekö pois seuraavalla pysäkillä?	Jääko jasi yr la deva stoplo?
1184	TAXI TRAFFIC	TAKSILIIKENNE	TIFTUVÖ TUSTA
1185	Take a taxi, taxi gets there faster, otherwise we will be late!	Otetaan taksi, taksilla pääsee nopeammin, muuten myöhästymme!	Aapta tiftuvö, vy tiftuvö aftuu noppirli, tuali ajsi ylnaa.
1186	We had to take a taxi.	Meidän täytyi ottaa taksi.	Ajsi piiten aap tiftuvö.
1187	There are a lot of goods, need to order a taxi.	On paljon tavaroita, täytyy tilata taksi.	Oo piri oftosi, piit tiif tiftuvö.
1188	Order a taxi for the evening!	Tilaa illaksi taksi!	Tiif ja tiftuvö for ennat.
1189	It is difficult to get a taxi at this time.	Tähän aikaan on vaikea saada taksia.	Täna oo ongva aaf tiftuvö.
1190	We were looking for a taxi station for a long time.	Etsiskelimme kauan taksiasemaa.	Ajsi siseeken luna tiftuvölo.
1191	Could you tell me where is the nearest taxi station?	Sanoisitteko, missä on lähin taksiasema?	Saaifko jasi, koin oo rafst tiftuvölo?
1192	The taxi rank is around the corner.	Taksiasema on kulman takana.	Tiftuvölo oo kade äng.
1193	Not worth coming in, I'll take a taxi.	Ei kannata tulla hakemaan, tulen taksilla.	Ej rogöö uut utaag, aj uut vy tiftuvö.
1194	CYCLING, WALKING	PYÖRÄILY, JALANKULKU	DURAUUTE, TUVEETE
1195	Where are you running?	Minne sinä juokset?	Kotu ja tyy?
1196	The boy has already learned to ride a bicycle.	Poika on jo oppinut ajamaan polkupyörällä.	Son oo ripnen daaven katuu vy durauvo.
1197	He enjoys cycling in the countryside.	Hän mielellään käy pyöräilemässä maaseudulla.	Hä hamili uttuu durauu la nuatlo.
1198	You can go there on foot.	Sinne voi mennä jalkaisin.	Itle voo tuu tuveli.
1199	Were you walking around town?	Olitteko kävelemässä kaupungilla?	Ooenko jasi vetuunen la taunlo?
1200	No, we went to the show / exhibition.	Emme, kävimme näyttelyssä.	Ej, ajsi uttuuen in tekahäp.
1201	We were out all day.	Olimme ulkona koko päivän.	Ajsi ooen ni kio tan.
1202	After dinner we often went outside.	Päivällisen jälkeen kävimme usein ulkona.	Ne tanem ajsi uttuuen sina ni.
1203	Let's go for a walk a little!	Mennään vähän kävelemään!	Tuuta ipri vetuu!
1204	Let's go to the park for a walk!	Mennään puistoon kävelemään!	Tuuta intu taunpul vetuu!
1205	We walked a long time in the park.	Kävelimme kauan puistossa.	Ajsi vetuuen luna in taunpul.
1206	We walked a long way in the moonlight.	Kävelimme kauan kuutamossa.	Ajsi vetuuen luna in monklir.
1207	We did a good walk.	Teimme hyvän kävelylenkin.	Ajsi tee-en hava vetuoturou.
1208	ROAD SAFETY	LIIKENNETURVALLISUUS	TUSTATURVAO
1209	Citizen, there is no zebra crossing here!	Kansalainen, tässä ei ole suojatietä!	Hyjjo, täin ej oo seftul!
1210	Don't cross this street!	Tästä ei saa mennä kadun yli!	Täut ej aaf tuu ylli tauntul.
1211	Only cross the street when the green light is on.	Menkää kadun yli vain vihreän valon palaessa.	Tuu jasi ylli tauntul erisli na grinva kat oo ry (rokliir).
1212	Stop! Red light is on (shining)! Car!	Pysähdy! Punainen valo palaa (loistaa)! Auto!	Stoop jasi! Redva kat rokliir!
1213	Can I stop here?	Saako tähän / tässä pysähtyä?	Aafko täin autstoop?
1214	Do not stop the car here!	Tähän ei saa pysäyttää autoa!	Täin ej aaf stoop tuvö!
1215	Do you have a driving license with you?	Onko Teillä ajokortti mukananne?	Oofko Jasi katuopöafto vi jasi?
1216	FASTEN SEAT BELTS	KIINNITTÄKÄÄ TURVAVYÖT	RUU JASI TURBELTSI
1217	First came the border guards and then the customs officers.	Ensin tulivat rajavartijat ja sitten tullimiehet.	Isvana uuten limkaadjosi a itne limpörov mäsi.
1218	A customs officer stepped into the wagon compartment.	Vaunuosastoon astui tullimies.	Intu tutolik iklo vetuuen limpörov mä.
1219	A customs clearance form must be filled in at the border.	Rajalla on täytettävä tulliselvityslomake.	La lim piit fuul limpörov soklirap kaupapr.
1220	Fill in the customs clearance form!	Täyttäkää tulliselvityslomake!	Fuul jasi limpörov soklirap kaupapr!
1221	can export at most	voi viedä korkeintaan	voo nigaa ylstrili
1222	Were you checked at customs?	Tarkastettiinko Teidät tullissa?	Taarkenko jasi in limpörovlö?
1223	Have you already received a visa?	Oletteko jo saaneet viisumin?	Ooko jasi ripnen aafen nihylpöafto?
1224	When does the visa expire?	Milloin viisumi vanhenee?	Kona nihylpöafto autvonpiir?
1225	How can I extend my visa?	Miten voi pidentää viisumia?	Koli voo lupiir nihylpöafto?
1226	Please show your passport!	Olkaa hyvä ja näyttäkää passinne!	Oo jasi hava a tekaa hojopöafto!
1227	He doesn't have a passport.	Hänellä ei ole passia.	Hä ej oof hojopöafto.
1228	Do you have a passport?	Onko Teillä passi mukana?	Oofko jasi hojopöafto vi?
1229	FAMILY, RELATIONSHIP	PERHE, SUKULAISUUS	BAJ, CEJJOVAO
1230	Do you live with your parents?	Asutteko vanhempienne kanssa?	Elooko jasi vi jasiof mamsi?
1231	Do your parents live?	Elävätkö vanhempanne?	Eeko jasiof mamsi?
1232	Do you have a big family?	Onko Teillä iso perhe?	Oofko jasi piva baj?
1233	Do you have family / children / sisters / brothers?	Onko teillä perhettä / lapsia / sisaria / veljiä?	Oofko jasi baj / ipmämsi / bajnossi / bajsonsi?
1234	How many children do you have?	Montako lasta teillä on?	Siko ipmämsi jasi oof?
1235	Do you have a boy or a girl?	Onko teillä poika vai tyttö?	Oofko jasi son taj nos?
1236	Oh how sweet a child!	Voi kuinka herttainen lapsi!	Voi koli ravova sonnos!
1237	You have a lovely little one!	Teillä on ihana pienokainen!	Jasi oof fainkava ipmäm!
1238	Our son is already big.	Poikamme on jo iso.	Ajof son oo ripnen piva.
1239	He already has an adult son.	Hänellä on jo aikuinen poika.	Hä oof ripnen fuljo son.
1240	His brother has two children.	Hänen veljellään on kaksi lasta.	Häof bajson oof du ipmämsi.
1241	She's my oldest sister.	Hän on vanhin sisareni.	Hä oo ajof unst bajnos.
1242	Father and mother will also come.	Isä ja äiti tulevat myös.	Ma a am uut ali.
1243	My husband / wife died recently / long ago / a year ago / a few years ago.	Mieheni / vaimoni kuoli äskettäin / kauan sitten / vuosi sitten / muutama vuosi sitten.	Ajof vimä /viäm eöönen rafnen / luna iten / jän iten / ipsi jänsi iten.
1244	MARRIAGE	AVIOLIITTO	BAJVIPÖ
1245	Do you know who the girl is in love with?	Tiedätkö, keneen tyttö on rakastunut?	Daako ja, tu kojo nos oo autraaen?
1246	You don't seem to love me anymore.	Et näköjään enää rakastakaan minua.	Ja ej vokaali ejpirnen raa aj.
1247	You and I are an interesting couple.	Sinä ja minä olemme mielenkiintoinen pari.	Ja a aj oo ruhamiva vidu.
1248	I'm so good to be with you.	Minun on niin hyvä olla kanssasi.	Aj oo itli hava oo vi ja.
1249	He even kissed me on the arm.	Hän jopa suuteli minua kädelle.	Hä ripnen a moupraaen aj le pave.
1250	Are you married?	Oletteko naimisissa?	Ooko jasi bajvi?
1251	I am single / divorced / widowed.	Olen naimaton / eronnut / leski.	Aj oo bajviejva / ertuuen / eönviäm / eönvimä.
1252	Who is she married to?	Kenen kanssa hän on naimisissa?	Kojo hä oo bajvi?
1253	PERSONAL NAME	HENKILÖNIMI	HOJOERSA
1254	What is your name?	Mikä teidän nimenne nimesi on?	Ko jasiof ersa oo?
1255	My name is Vuokko Virtanen.	Nimeni on Vuokko Virtanen.	Ajof ersa oo Vuokko Virtanen.
1256	What about yours?	Entä Teidän?	A ko jaof?
1257	What is your first name?	Mikä on teidän etunimenne?	Ko oo jasiof edersa?
1258	What is your surname?	Mikä on teidän sukunimenne?	Ko oo jasiof cejersa?
1259	I often confuse Chinese names.	Sekoitan usein kiinalaiset nimet.	Aj parääj sina kinva ersasi.
1260	Surnames are listed in alphabetical order.	Sukunimet ovat aakkosjärjestyksessä.	Cejersasi oo in a-öjär.
1261	NATIONALITY	KANSALLISUUS	HYJVAO
1262	What is your nationality?	Mikä on kansallisuutenne?	Ko oo jasiof hyjvao?
1263	I am a Finnish / Finnish Swedish / Russian / German.	Olen suomalainen / suomenruotsalainen / venäläinen / saksalainen.	Aj oo finva / fin-svidva / rusva / germva.
1264	Which country are you from?	Mistä maasta te olette?	Kout hyl jasi oo?
1265	Where are you from?	Mistä olette kotoisin?	Koin jasi oof bal.
1266	I am from Finland / Sweden / Lahti.	Olen Suomesta / Ruotsista / Lahdesta.	Aj oo ut Finlo / Svidlo / Lahti.
1267	I was born in Finland / Sweden.	Olen syntynyt Suomessa / Ruotsissa.	Aj oo nöee-en in Finlo / Svidlo.
1268	This hotel has a lot of foreigners.	Tässä hotellissa on paljon ulkomaalaisia.	Täin rotuotol oo siri nihyljosi.
1269	Do you know a lot of Americans?	Tunnetko paljon amerikkalaisia?	Kadavooko jasi siri amerjosi?
1270	The Russians love nature a lot.	Venäläiset rakastavat kovasti luontoa.	Rusjosi raa kamli biolo.
1271	Finns really like the sauna.	Suomalaiset pitävät kovasti saunasta.	Finjosi öbraa kamli läktol.
1272	CROWD OF PEOPLE	IHMISJOUKKO	MÄMSIO
1273	How many people does Moscow have?	Paljonko Moskovassa on asukkaita?	Siko in Moskov oo eloojosi?
1274	There are many more than Muscovites in Moscow.	Moskovassa on paljon muitakin kuin moskovalaisia.	In Moskov oo siri tuasi a li moskovjosi.
1275	There's a lot of people everywhere.	Täällä on kaikkialla paljon väkeä.	Täla oo kila siri jori.
1276	A pleasant crowd had gathered there.	Sinne oli kokoontunut miellyttävää porukkaa.	Itin oo relotuuen mihava josio.
1277	The group arrives today.	Ryhmä saapuu tänään.	Iksio uut tätanna.
1278	Our group consists mainly of students.	Ryhmämme koostuu pääasiassa opiskelijoista.	Ajsiof iksio kivioo päsoli apdaavjosi.
1279	POWERS AND ADMINISTRATION	VALTA JA HALLINTO	PÖ A PÖTE
1280	Are you a party member?	Oletteko puolueen jäsen?	Ooko jasi gösio ve?
1281	He is a member of the Central Party.	Hän on keskustapuolueen jäsen.	Hä oo midgösio ve?
1282	Already at school he joined the Coalition.	Jo koulussa hän liittyi kokoomukseen.	Ripnen in davlo hä rutuuen viapgösio.
1283	A delegation has already arrived.	Valtuuskunta on jo saapunut.	Pöjofasio oo ripnen uuten.
1284	The delegation came through the Finnish-Russian Society.	Valtuuskunta tuli Suomi-Venäjä-seuran kautta.	Pöjofasio uuten intuni Finlo-Ruslo-vijosio.
1285	If you have lost your identity paper, you should contact the police.	Jos olet kadottanut henkilöllisyyspaperisi, on käännyttävä poliisin puoleen.	If ja oo pakayyren jaof hojovao papr, piit auttöön tusid pöjärjo.
1286	He fights for peace.	Hän taistelee rauhan puolesta.	Hä iksiip gö pis.
1287	I'm on his side / against her / support the proposal.	Olen hänen puolellaan / häntä vastaan / kannatan ehdotusta.	Aj oo gö hä / ög hä / aj göö tajsa.
1288	pressure group / voting right	painostusryhmä / äänioikeus	pocuute sio / pöurka rataf
1289	200 MPs / congressmen are elected.	Vaaleissa valitaan 200 kansanedustajaa.	In pöurka aphakaata 200 (duces) hyjsieedjosi.
1290	Candidate elections for municipal elections are ongoing.	Kunnallisvaalien ehdokasasettelu on meneillään.	Dilpöurka ifojopa tuunen.
1291	PLACE, WHERE	PAIKKA, MISSÄ?	LO, KOIN?
1292	Where's the service office here?	Missähän täällä on palvelutoimisto?	Koin a täla oo ser otelo?
1293	Where is Matti?	Missä Matti on?	Koin Matti oo?
1294	Where have you been?	Missä sinä olet ollut?	Koin ja oo ooen?
1295	There he comes.	Tuolla hän tulee.	Ätla hä uut?
1296	There's our bus at that square.	Tuolla torilla on meidän bussimme.	Ätla ouptaunlo oo ajsiof siotuvö.
1297	They're not here.	Heitä ei ole täällä.	Häsi ej oo täla.
1298	That's where our hotel is.	Siinä meidän hotellimme onkin.	Itin ajsiof rotuotol oo a.
1299	Is this place free?	Onko tämä paikka vapaa?	Ooko tä lo friva?
1300	There's only one place here.	Täällä on vain yksi paikka.	Täla oo erisli is lo.
1301	We've been to every place.	Olemme käyneet joka paikassa.	Ajsi oo uttuuen in ki losi.
1302	WHERE # WHERE FROM	MIHIN? # MISTÄ?	KOTU? # KOUT?
1303	Where are you going?	Minne sinä olet menossa?	Kotu ja oo tuunen?
1304	To the university.	Yliopistolle.	Tu yldavlö.
1305	Come here!	Tule tänne!	Uut ja täle!
1306	Put your suitcase here!	Pistäkää matkalaukku tänne!	Paa jasi rotuobäg täle!
1307	Put the suitcase behind the door!	Pistä matkalaukku oven taakse!	Paa rotuobäg kadetu ouv!
1308	We already passed the house.	Menimme jo talon ohi.	Ajsi tuuen ripnen sidut tol.
1309	She passed by and didn't notice me.	Hän meni ohitseni eikä huomannut minua.	Hä tuuen sidut aj a ej satvokaaen aj.
1310	We drove through the city.	Ajoimme kaupungin kautta.	Ajsi katuuen intuni taunlo.
1311	We drove along the Moscow River.	Ajoimme pitkin Moskova-jokea.	Ajsi katuuen luvi Moskov divamtul.
1312	Now we swim across the river.	Nyt uidaan joen yli.	Nen vuuta ylli divamtul.
1313	BE, LOCATE	OLLA, SIJAITA	OO, LOO
1314	Where were you both?	Missä te molemmat olitte?	Koin jasi duvio ooen?
1315	Where were you last night?	Missä te olitte eilen illalla?	Koin jasi ooen edtanna entan?
1316	Were you here?	Tekö täällä olitte?	Jasiko täla ooen?
1317	We were not.	Emme olleet.	Ajsi ej ooen.
1318	They were in Sweden.	He olivat Ruotsissa.	Häsi ooen in Svidlo.
1319	In the summer we spend a lot of time in the country.	Kesällä oleilemme paljon maalla.	Lakna ajsi sioo piri la nuatlo.
1320	Most major cities are located in the western part of the country.	Useimmat suurista kaupungeista sijaitsevat maan länsiosissa.	Sipir piva taunlosi loo in vetiksi hyl.
1321	Klin is located in the Moscow region.	Klin sijaitsee Moskovan alueella.	Klin loo la Moskov leilo.
1322	The hotel is right by the sea.	Hotelli sijaitsee aivan meren rannalla.	Rotuotol loo fulli la fovamlo vamdim.
1323	There are a lot of books on the table.	Pöydällä on paljon kirjoja.	La laos oo siri kirtosi.
1324	Do you take the papers, they are by the window?	Otatko paperit, ne ovat ikkunan luona!	Aapko ja paprsi, itsi oo tut kauv!
1325	All the goods lay on the floor (confused, not taken).	Kaikki tavarat lojuivat (sekaisin, ottamatta) lattialla.	Ki oftosi räjlooen (räjli, aapejli) la lytal.
1326	The cabinet is behind the door.	Kaappi on oven takana.	Gabos oo kade ouv.
1327	The bag is under the table.	Laukku on pöydän alla.	Bäg oo al laos.
1328	What are you standing here for?	Mitä sinä täällä seisot?	Kosy ja täla tiis?
1329	Where do you want to sit?	Mihin haluatte istuutua?	Kole jasi ofraa siit?
1330	Sit next to me!	Istukaa viereeni!	Siit jasi tu sidvi aj!
1331	We sat in the back but still could see well.	Istuimme takana, mutta näkyi silti hyvin.	Ajsi siiten kade, mutsyli autkaaen hali.
