English	Finnish	Vosa
Economically, expensively or cheaply, qualitatively, commercially.	Taloudellisesti, kalliisti tai halvasti, laadullisesti, kaupallisesti.	Rostali, ylrovli taj lyrovli, vaoli, fäfli. 
Learn more about the possibilities of commodities.	Lisää tietoa hyödykkeiden mahdollisuuksista.	Pir da öb görotosi vovaosi. 
Good value for money.	Hyvä hinta/laatusuhde.	Hava rovri/vao curi. 
Where can you save?	Missä voi säästää.	Koin voo ropaoo. 
Where is it not worth being stingy?	Missä ei kannata olla pihi.	Koin ej rogöö oo iprifava. 
If you don't invest financially, you won't necessarily get results.	Jos ei panosta taloudellisesti, ei tulostakaan välttämättä synny.	If ej hastpaa rostali, ej ali utro nidli nöee. 
However, avoid misplacements.	Vältä kuitenkin virhesijoituksia.	Urpiit ja amut sovik roforpasi. 
Artistically, graphically, humorously.	Taiteellisesti, graafisesti, humoristisesti.	Kavli, katoli, hehsali. 
Art can provide new inspiration, allowing for visual depiction, creating new architecture, design, etc.	Taide voi antaa uusia virikkeitä, sillä voidaan havainnollisesti kuvata, luoda uutta arkkitehtuuria, muotoilua jne.	Kav voo faa novva foryssi, vy it voota obvokalili katoo, novtee novva lokasoda, kauute aid. 
Alone or in collaboration.	Yksin tai yhteistyössä.	Isvi taj in vitö. 
Solve both alone and in collaboration.	Ratko sekä yksin että yhteistyössä.	Signoo ja duvio isvi a in vitö. 
Take advantage of social networks, network among actors.	Hyödynnä sosiaalisia verkostoja, verkostoidu toimijoiden kesken.	Tegöroo ja sosva sinetsi, autsineet ja vigög oteejosi. 
Looking for ideas and ways with words.	Etsien ideoita ja tapoja sanoilla.	Seekli ideasi a liosi vy sasi. 
There may be humor involved here.	Tässä voi olla huumorikin mukana.	Täin voo oo ali hehsa ofvi. 
There are good and bad habits.	Tapoja on hyviä ja pahoja.	Liosi oo hava a ahva. 
More vocabularies in different order can be found on these pages.	Lisää sanastoja eri järjestyksessä on näillä sivuilla.	Pir sisatosi in er jär oo la täsi sidsi. 
Among them, you can find products and services that could be developed or on which you can start a company.	Niistä voi löytää tuotteita ja palveluja, joita voisi kehittää tai joille voi perustaa yrityksen.	Ob itsi voo kees tosi a seertesi, kosi vooif deev taj for kosi voo bestoo tralö. 
A partly humorous glossary of how to solve problems, not solve them immorally.	Osittain humoristinen sanalista siitä, miten ratkaista ongelmia, ei ratkaista niitä moraalittomasti.	Ikli hehsava salurik öb it, koli gnoo ongsi, ej gnoota itsi cuhahejli. 
alphabetically	aakkosellisesti	a-öli
ideologically	aatteellisesti	ideli
ghostly	aavemaisesti	hokauli
absolutely	absoluuttisesti	ifoejli
absurdist	absurdisti	visejli
aggressively	aggressiivisesti	arculi
diligently	ahkerasti	piriteli
greedily	ahnaasti	teafrali
greedily	ahneesti	ylofrali
truly	aidosti	rorilli
appropriately	aiheellisesti	obsoli
unnecessarily	aiheettomasti	obsoejli
sensually	aistillisesti	visenevli
temporally	ajallisesti	ofnoli
thoughtlessly	ajattelemattomasti	sooejli
academically	akateemisesti	davlöli
actively	aktiivisesti	siteli
acoustically	akustisesti	tilhödali
acutely	akuutisti	ipiprinoli
constantly	alituisesti	kinali
allegorically	allegorisesti	rekasali
regionally	alueellisesti	leiloli
tentatively	alustavasti	alteeli
professionally	ammatillisesti	votöli
professionally	ammattimaisesti	votöli
analogously	analogisesti	lireobdali
analytically	analyyttisesti	rorikali
anatomically	anatomisesti	vevdali
severely	ankarasti	ahpöculi
deservedly	ansaitusti	roaafenli
meritoriously	ansiokkaasti	roafli
lavishly	anteliaasti	pirifali
anthropologically	antropologisesti	mämdali
timidly	arasti	arkli
archaeologically	arkeologisesti	unobdäli
architecturally	arkkitehtonisesti	lokasodali
mercifully	armollisesti	hacuahli
mercilessly	armottomasti	hacuahejli
unpredictably	arvaamattomasti	gesejli
predictably	arvattavasti	geesli
enigmatically	arvoituksellisesti	gesobli
with dignity	arvokkaasti	roli
critically	arvostelevasti	obrosaali
worthlessly	arvottomasti	roejli
with propriety	asiallisesti	cusoli
duly	asianmukaisesti	soli
expertly	asiantuntevasti	sovodali
ascetically	askeettisesti	safnidcuoli
readily	auliisti	ravyli
as a matter of routine	automaattisesti	autteli
authoritarianally	autoritäärisesti	autgöpöli
irretrievably	auttamattomasti	vyyejli
helpfully	auttavasti	vyyli
blissfully	autuaasti	pyhrosli
frankly	avoimesti	oupli
generously	avokätisesti	ouppaveli
helplessly	avuttomasti	vyoejli
bacteriologically	bakteriologisesti	baktdali
biochemically	biokemiallisesti	biokemdali
biologically	biologisesti	biodäli
bureaucratically	byrokraattisesti	töropölili
demographically	demografisesti	joridäli
democratically	demokraattisesti	talpöli
didactically	didaktisesti	padavdali
digitally	digitaalisesti	kasiöli
diplomatically	diplomaattisesti	hylväldali
dramatically	dramaattisesti	litekali
dualistically	dualistisesti	duideli
dynamically	dynaamisesti	pourli
advantageously	edullisesti	edroli
conditionally	ehdollisesti	ifoli
absolutely	ehdottomasti	ifoejli
ecologically	ekologisesti	ekodäli
exactist	eksaktisti	jusli
explicitly	eksplisiittisesti	sajusli
exponentially	eksponentiaalisesti	sirisoli
elegantly	elegantisti	tylli
electrolytically	elektrolyyttisesti	sähiksituumoli
electronically	elektronisesti	ipsähli
vividly	eloisasti	eooli
animalistically	eläimellisesti	pelili
vividly	elävästi	eeli
emotionally	emotionaalisesti	pifili
empirically	empiirisesti	davofili
endocrinologically	endokrinologisesti	ingländevdali
increasingly	enenevästi	autsipiirli
energetically	energisesti	porili
prejudiced	ennakkoluuloisesti	ennamejusli
without prejudice	ennakkoluulottomasti	ennamejusejli
prematurely	ennenaikaisesti	ennoli
in the first instance	ensisijaisesti	isvaloli
epidemiologically	epidemiologisesti	retleituodali
undemocratically	epädemokraattisesti	ejtalpöli
unfavorably	epäedullisesti	ejedroli
suspiciously	epäilevästi	suuli
suspiciously	epäilyttävästi	tesuuli
selflessly	epäitsekkäästi	ejauthali
inconsistently	epäjohdonmukaisesti	ejdirli
impolitely	epäkohteliaasti	ejkahaculi
disrespectfully	epäkunnioittavasti	ejcuhoonli
illogically	epäloogisesti	ejtuvisdali
suspiciously	epäluuloisesti	ejmejusli
unpleasantly	epämiellyttävästi	ejmihali
uncomfortably	epämukavasti	ejhamili
vaguely	epämääräisesti	kratli
abnormally	epänormaalisti	ejresili
wrongly	epäoikeudenmukaisesti	ejrataflili
out of tune	epäpuhtaasti	ejklinli
dishonestly	epärehellisesti	ejrilhali
unclearly	epäselvästi	ejklirli
indirectly	epäsuorasti	ejreili
unfavorably	epäsuotuisasti	ejstahali
asymmetrically	epäsymmetrisesti	ejtalkacurili
by fits and starts	epäsäännöllisesti	ejregli
inaccurately	epätarkasti	ejtarkli
unevenly	epätasaisesti	ejtalli
unnaturally	epätavallisesti	ejresili
unhealthily	epäterveellisesti	ejterlili
desperately	epätoivoisesti	ejobnerali
unsatisfactory	epätyydyttävästi	ejnidfulli
incompletely	epätäydellisesti	ejfulvoli
in disbelief	epäuskoisesti	ejuusli
uncertainly	epävarmasti	ejvarmli
unwisely	epäviisaasti	ejvisli
unofficially	epävirallisesti	ejtöroli
ergonomically	ergonomisesti	töculitedali
erroneously	erheellisesti	sovikli
especially	erikoisesti	erlili
excellently	erinomaisesti	erhali
particularly	erityisesti	eröli
erotically	eroottisesti	senrali
inseparably	erottamattomasti	erurpaaejli
exemplary	esimerkillisesti	edkalili
aesthetically	esteettisesti	kavkali
ethnically	etnisesti	hyjli
ethnologically	etnologisesti	hyjdäli
etymologically	etymologisesti	sanöbesdali
remotely	etäisesti	farli
euphemistically	eufemistisesti	rautukasali
in fact	faktisesti	rilsoli
falsist	falskisti	tarmuuenli
fanatically	fanaattisesti	bönmili
fantastically	fantastisesti	mikaoli
pharmacologically	farmakologisesti	termodäli
phenomenologically	fenomenologisesti	kauthäpdali
cleverly	fiksusti	kavisli
philosophically	filosofisesti	eovisdali
phonetically	foneettisesti	sahöli
phonologically	fonologisesti	sahödäli
formally	formaalisesti	kauoli
futurologically	futurologisesti	nenodali
physically	fysikaalisesti	bodevli
physiologically	fysiologisesti	bodevdali
physically	fyysisesti	bodevli
galvanically	galvaanisesti	moTsnpaali
genetically	geneettisesti	genli
geodetically	geodeettisesti	molkauridali
geologically	geologisesti	moldäli
geometrically	geometrisesti	pipridali
geomorphologically	geomorfologisesti	molkaunöedäli
geopolitically	geopoliittisesti	molpögöteli
globally	globaalisti	kölleili
graphically	graafisesti	katoli
nostalgically	haikeasti	sorfarrali
harmfully	haitallisesti	ögroli
absentmindedly	hajamielisesti	silomili
fragmentarily	hajanaisesti	siloli
administratively	hallinnollisesti	pöteli
in a controlled manner	hallitusti	pöteeli
meanly	halpamaisesti	lyrovlili
willingly	halukkaasti	ofrali
reluctantly	haluttomasti	ofraejli
derogatorily	halventavasti	lyropiirli
sourly	happamasti	hapli
recklessly	harkitsemattomasti	ifsooejli
deliberately	harkitusti	ifsooli
entreatingly	hartaasti	usmili
funny	hassusti	fanli
gravely	haudanvakavasti	eönlogreli
fun	hauskasti	hehobli
perceptually	havainnollisesti	obvokalili
noticeably	havaittavasti	obvokaavoli
fruitfully	hedelmällisesti	hedli
weakly	heikosti	opli
brightly	heleästi	helkali
affectionately	hellästi	makrali
easily	helposti	gnoli
hellishly	helvetisti	ahloli
gently	hempeästi	suitculi
personally	henkilökohtaisesti	hojoiploli
mentally	henkisesti	hosoli
deliciously	herkullisesti	haemli
easily	herkästi	ylfili
hermetically	hermeettisesti	homtihruli
nervously	hermostuneesti	autneervli
affectionately	herttaisesti	ravoli
momentarily	hetkellisesti	ipnoli
finely	hienosti	väkali
tactfully	hienotunteisesti	väkafili
subtly	hienovaraisesti	väkaresli
quietly	hiljaisesti	öhli
unrestrainedly	hillittömästi	ipyyvejli
with restraint	hillitysti	ipyyvli
airily	hilpeästi	ylrosli
dimly	himmeästi	rilkli
terribly	hirmuisesti	hirobli
terrifically	hirveästi	hirli
slowly	hitaasti	ponli
minutely	hiuksenhienosti	heörtinli
recklessly	holtittomasti	ejobkeli
amazingly	huikeasti	ylpili
dizzyingly	huimaavasti	ylhirli
tremendously	huimasti	ylhirli
amiss	hullusti	sivcuoli
humorously	humoristisesti	hehsali
carefully	huolellisesti	juskeeli
lightly	huolettomasti	mike-ejli
negligently	huolimattomasti	ejjuskeeli
imperceptibly	huomaamattomasti	ejsatvokaali
thoughtfully	huomaavaisesti	cuvokaali
notably	huomattavasti	pivokali
poorly	huonosti	ahvoli
amusingly	hupaisasti	hehlili
wildly	hurjasti	sivkarli
charmingly	hurmaavasti	huurli
piously	hurskaasti	hausli
hydraulically	hydraulisesti	vomlouysrili
hygienically	hygieenisesti	terklinli
hypnotically	hypnoottisesti	dafinukli
hysterically	hysteerisesti	ylfirakli
acceptably	hyväksyttävästi	hafaavoli
benevolently	hyväntahtoisesti	haobrali
Goodbye	hyvästi	hahej
to good purpose	hyödyllisesti	göroli
maliciously	häijysti	ahculioli
ruthlessly	häikäilemättömästi	ahcuyvejli
alarmingly	hälyttävästi	vyhötusaali
vaguely	hämärästi	takkatli
shamefully	häpeällisesti	nohli
unashamedly	häpeämättömästi	noohejli
harshly	härskisti	fätahli
hastily	hätäisesti	ahnidli
modestly	häveliäästi	nohfili
forever	iankaikkisesti	kikinoli
identically	identtisesti	tarkreli
admiringly	ihailevasti	fainkaali
to admiration	ihailtavasti	fainkavoli
wonderfully	ihanasti	fainkali
ideally	ihanteellisesti	fainideli
miraculously	ihmeellisesti	voejhäpli
forever	ikuisesti	kinoli
sadly	ikävästi	luejrali
disgustingly	iljettävästi	hirahfili
maliciously	ilkeästi	ahculi
mischievously	ilkikurisesti	ahpocujärli
airtightly	ilmanpitävästi	homtihruli
climatically	ilmastollisesti	homstali
airily	ilmavasti	homli
blankly	ilmeettömästi	liedkaejli
obviously	ilmiselvästi	kautklirli
phenomenally	ilmiömäisesti	kauthäpli
merrily	iloisesti	rosli
joylessly	ilottomasti	rosejli
impulsively	impulsiivisesti	önnukysli
humanly	inhimillisesti	mämhali
disgustingly	inhottavasti	temicuaahli
heartily	innokkaasti	ysrali
Enthusiastically	Innostuneesti	autysraaenli
intensively	intensiivisesti	povoli
interactively	interaktiivisesti	välcusiteli
passionately	intohimoisesti	visemrali
intuitively	intuitiivisesti	autdafiili
ironically	ironisesti	hepilkli
loosely	irrallisesti	urlili
loosely	irtonaisesti	urooli
strikingly	iskevästi	hääkli
big	isosti	pili
paternally	isällisesti	malili
selfishly	itsekkäästi	autculi
independently	itsenäisesti	autnali
stubbornly	itsepintaisesti	autögpoli
stubbornly	itsepäisesti	autpäli
confidently	itsevarmasti	autvarmli
generously	jalomielisesti	vämili
continually	jatkuvasti	pirtuuli
consistently	johdonmukaisesti	dirlili
flexibly	joustavasti	joosli
in a moment	joutuisasti	nopli
solemnly	juhlallisesti	ronoli
publicly	julkisesti	dihli
ruthlessly	julmasti	curavpöli
wickedly	jumalattomasti	hajoejli
legally	juridisesti	ratafoli
firmly	jykevästi	masli
sharp	jyrkästi	jyrli
firmly	jämäkästi	maspoli
excitingly	jännittävästi	vooltli
excitedly	jännästi	vooltli
sensibly	järjellisesti	visofli
systematically	järjestelmällisesti	lijärli
unreasonably	järjettömästi	visejli
reasonably	järkevästi	visli
rationally	järkiperäisesti	visbesli
stiffly	jäykästi	poruli
stubbornly	jääräpäisesti	ögpäli
icily	jäätävästi	kaalmli
schematically	kaavamaisesti	likali
twice	kahdesti	duli
bashfully	kainosti	edrakli
double	kaksinkertaisesti	dunoli
terribly	kamalasti	hirli
stiffly	kankeasti	poruli
internationally	kansainvälisesti	hyjsivälli
nationally	kansallisesti	hyjli
popularly	kansanomaisesti	hyjlili
in a popular way	kansantajuisesti	hyjdafili
chaotically	kaoottisesti	piräjli
narrowly	kapeasti	ielli
roughly	karkeasti	eihli
aversely	karsaasti	ierögmili
bitterly	karvaasti	pikhapli
